,WID,Label,Eth Balance,Txn Count,Exchange,ERC 20 Txn,ERC 20 Txn In,ERC 20 Txn Out,ERC721 Txn Out,ERC721 Txn In,ERC721 Txn
116,0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,0 Ether,,Y,,,,,,
117,0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,0.00097022 Ether,,Y,,,,,,
118,0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,0.48655556 Ether,,Y,,,,,,
119,0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,570.80573745 Ether,,Y,,,,,,
120,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,"135,360.07422362 Ether",,Y,,,,,,
121,0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades Exchange,60.00427015 Ether,,Y,,,,,,
122,0xdf8752caa319668006580ddf48db25a23728b926,Bololex.com,0.00084255 Ether,,Y,,,,,,
123,0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,BTC-Alpha Exchange,0.00073491 Ether,,Y,,,,,,
124,0x73957709695e73fd175582105c44743cf0fb6f2f,Bw.com,0.01486057 Ether,,Y,,,,,,
125,0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX: Hot Wallet,0 Ether,,Y,,,,,,
126,0x88988d6ef12d7084e34814b9edafa01ae0d05082,CamboChanger 2,0 Ether,,Y,,,,,,
127,0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,279.96176086 Ether,,Y,,,,,,
128,0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,Catex Exchange,35.46454121 Ether,,Y,,,,,,
129,0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,ChainX,0.10233008 Ether,,Y,,,,,,
130,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,0.001507 Ether,,Y,,,,,,
131,0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood 1,2.00126783 Ether,,Y,,,,,,
132,0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood 2,0.12600316 Ether,,Y,,,,,,
133,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,8.90633668 Ether,,Y,,,,,,
134,0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,12.61918614 Ether,,Y,,,,,,
